Academic_Year,District_Code,School_Code,DRC_Student_ID,State_Student_ID,Student_Grade,Student_Last_Name,Student_First_Name,Student_Middle_Name/Initial,DOB,Gender,Ethnicity_Hispanic_or_Latino,Race_American_Indian_or_Alaska_Native,Race_Asian,Race_Black_or_African_American,Race_Pacific_Islander_Hawaiian,Race_White,504_Plan,IEP,English_Learner,Primary_Disability_Type,Secondary_Disability_Type,Gifted_and_Talented,Accommodation_Readiness,Accommodation_Math,Accommodation_ELA,Session_Name,Test_Type,Test,Test_Level,Tested_Date,Season,Document_ID,Filler1,Filler2,Filler3,Filler4,Filler5,Total_Raw_Score,Filler6,Total_Theta,Total_Theta_SEM,Total_Scale_Score,Total_Scale_Score_SEM,Total_Achievement_Level,Filler7,S1_Theta,S1_Theta_SEM,S1_Scale_Score,S1_Scale_Score_SEM,S1_Achievement_Level,S2_Theta,S2_Theta_SEM,S2_Scale_Score,S2_Scale_Score_SEM,S2_Achievement_Level,S3_Theta,S3_Theta_SEM,S3_Scale_Score,S3_Scale_Score_SEM,S3_Achievement_Level,S4_Theta,S4_Theta_SEM,S4_Scale_Score,S4_Scale_Score_SEM,S4_Achievement_Level,S5_Theta,S5_Theta_SEM,S5_Scale_Score,S5_Scale_Score_SEM,S5_Achievement_Level,S6_Theta,S6_Theta_SEM,S6_Scale_Score,S6_Scale_Score_SEM,S6_Achievement_Level,S7_Theta,S7_Theta_SEM,S7_Scale_Score,S7_Scale_Score_SEM,S7_Achievement_Level,Predictive_SEM_Lower,Predictive_SEM_Upper,Predictive_Performance_Level,Filler8,Filler9,FOLA_Phonics_Benchmark,FOLA_UppercaseLeters_Benchmark,FOLA_LowercaseLetters_Benchmark,FOLA_LetterSounds_Benchmark,FOLA_Vowels_Benchmark,FOLA_Real/Nonsense_Benchmark,FOLA_HighFrequencyWords_Benchmark,Filler10,Filler11,FOLA_OralReadingFluency_Benchmark,FOLA_ReadingRate_Benchmark,FOLA_ReadingAccuracy_Benchmark,FOLA_ReadingExpression_Benchmark,FOLA_ReadingComprehension_Benchmark,FOLA_OralExpression_Benchmark,RAN_Benchmark,Presented_Item_IDs,Item_Scored_Response_String,Item_Type,Test_Start_Time,Test_End_Time
2025-2026,25590,1107,605000,605000,KG,Last 1,First 1,,10101900,,,,,,,,,No,,,,,,,,Session 1,FULL,MATHEY,KG,9/2/2025,Fall,123456789,,,,,,N/A,,-1.6593,0.3732,417,19,Near Target,,0.2036,1.1339,510,57,Prepared,-1.7384,0.7463,413,37,Near Target,-2.6167,0.7128,369,36,Support Needed,-1.6008,0.7449,420,37,Near Target,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,1239848|1239547|1239878|1239463|1239859|1239748|1239464|1239872|1239518|1239856|1239483|1239515|1239766|1239451|1239877|1239554|1239841|1239517|1239472|1239486|1239439|1239858|1239630|1239648|1252141|1239548|1239875|1239847|1239555|1239450|1239865|1239815|1251068|1251066|1239818|1251074|1239558,1010111101000110001100101010010110000,TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE,1/1/1900 0:00,1/1/1900 0:00
2025-2026,25590,1107,605001,605001,KG,Last 2,First 2,,10111900,,,,,,,,,No,,,,,,,,Session 1,FULL,MATHEY,KG,9/2/2025,Fall,223456789,,,,,,N/A,,-0.8112,0.3857,459,19,Near Target,,0.2036,1.1339,510,57,Prepared,0.403,1.106,520,55,Prepared,-1.6973,0.664,415,33,Near Target,-1.0795,0.7046,446,35,Near Target,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,1239848|1239547|1239878|1239463|1239859|1239748|1239464|1239872|1239518|1239856|1239483|1239515|1239766|1239451|1239877|1239554|1239841|1239517|1239472|1239486|1239439|1239858|1239710|1252107|1252169|1239548|1239875|1239847|1239555|1239450|1239865|1239815|1251068|1251066|1239818|1251074|1239558,1010011100001011010101000111110110111,TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE|TE,1/1/1900 0:00,1/1/1900 0:00
2025-2026,25590,1107,605002,605002,03,Last 3,First 3,E,10121900,,,,,,,,,No,9,,,,,,,Session 1,FULL,MathF,3_S,4/3/2026,Spring,323456789,,,,,,N/A,,-0.93941,0.18697,415,17,Near Target,,-1.05478,0.29655,405,27,Near Target,-0.57335,0.41061,448,37,Near Target,-1.09499,0.35731,401,32,Near Target,-1.12367,0.49267,399,44,Near Target,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,1230843|1230990|1230811|1230931|1230833|855669|1230827|1230937|1231059|1230783|1230839|1231368|1231394|1231136|1230826|1231439|1230972|1230801|1230970|1230958|855679|1231239|1230816|1231408|1233599|1231127|1230853|1231386|1233566|855678|1230997|1231229|1230939|1230929|1231002|1230851,ABA1BACB402CBBC1BBCBA20C13BCBB0111B1,MC|MC|MC|TE|MC|MC|MC|MC|MC|TE|MC|MC|MC|MC|MC|MC|MC|MC|MC|MC|MC|MC|TE|MC|MC|MC|MC|MC|MC|MC|TE|TE|MC|TE|MC|MC,1/1/1900 0:00,1/1/1900 0:00
2025-2026,25590,1107,605003,605003,03,Last 4,First 4,R,10131900,,,,,,,,,No,9,,,,,,,Session 1,FULL,MathF,3_S,4/3/2026,Spring,423456789,,,,,,N/A,,-1.59942,0.13249,356,12,Near Target,,-1.52708,0.19857,363,18,Near Target,-1.69122,0.25181,348,23,Near Target,-1.60139,0.33421,356,30,Near Target,-1.65203,0.39793,351,36,Near Target,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,1230843|1230990|1230811|1230931|1230833|855669|1230827|1230937|1231059|1230783|1230839|1231368|1231394|1231136|1230826|1231439|1230972|1230801|1230970|1230958|855679|1231239|1230816|1231408|1233599|1231127|1230853|1231386|1233566|855678|1230997|1231229|1230939|1230929|1231002|1230851,4B3032CBC02C31C1B1C3230C23BC1B0040B3,MC|MC|MC|TE|MC|MC|MC|MC|MC|TE|MC|MC|MC|MC|MC|MC|MC|MC|MC|MC|MC|MC|TE|MC|MC|MC|MC|MC|MC|MC|TE|TE|MC|TE|MC|MC,1/1/1900 0:00,1/1/1900 0:00
2025-2026,25590,1107,605004,605004,03,Last 5,First 5,M,10141900,,,,,,,,,No,9,,,,,,,Session 1,Testlet,ELA_REA_TST,3,3/3/2026,Spring,523456789,,,,,,N/A,,,,,,,,-0.39974,0.42883,472,30,Near Target,-0.56899,0.65696,460,46,Near Target,0.43923,1.01544,531,71,Prepared,-0.67802,0.66021,453,46,Near Target,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,1234157|1234297|1234296|1234251|857894|857895|857897|857899|1234253|1234274|1234276|1234278|1234279|1234280|1257074|1257153|1257154|1257465|1257084|1255852|1257085|1257086|1255853|1255923|1234761|1234764|1234765|1234766|1234905|1234904,DADAC3142C2CBDCC1AB0B010B1CBAB,MC|MC|MC|MC|MC|MC|TE|MC|TE|MC|MC|MC|MC|MC|MC|MC|TE|MC|MC|TE|MC|TE|MC|TE|MC|MC|MC|MC|MC|MC,1/1/1900 0:00,1/1/1900 0:00
2025-2026,25590,1107,605005,605005,03,Last 6,First 6,I,10151900,,,,,,,,,No,9,,,,,,,Session 1,Testlet,ELA_REA_TST,3,3/3/2026,Spring,623456789,,,,,,N/A,,,,,,,,-1.92498,0.28279,365,20,Near Target,-2.07731,0.50692,355,35,Near Target,-2.02061,0.60948,359,43,Near Target,-1.76429,0.42928,376,30,Near Target,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,1234297|1234184|1234183|1234205|857892|1234206|857893|1234208|1234369|1257426|1256765|1256766|1256768|1256769|1256770|1256841|1256842|1257154|1257465|1257086|1255922|1255853|1256771|1255923|1234296|1234947|857867|1234948|1234949|1234050|1234051,A1B141CC1013B1301120113030B3B1C,MC|MC|MC|TE|MC|TE|MC|MC|MC|TE|MC|MC|MC|MC|MC|TE|MC|TE|MC|TE|TE|MC|MC|TE|MC|TE|MC|MC|MC|MC|MC,1/1/1900 0:00,1/1/1900 0:00
2025-2026,25590,1107,605006,605006,03,Last 7,First 7,P,10161900,,,,,,,,,No,9,,,,,,,Session 1,Testlet,MAT_ALG_TST,3,10/2/2025,Fall,723456789,,,,,,N/A,,,,,,,,-3.00806,1.15902,229,104,Support Needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,1230986|1231088|1231084|1232105|1231320|1231975|1231092|1233619|1231309|1232204|1232027|1231568,014201020C11,TE|MC|MC|MC|TE|MC|TE|MC|TE|MC|MC|MC,1/1/1900 0:00,1/1/1900 0:00
2025-2026,25590,1107,605007,605007,03,Last 8,First 8,N,10171900,,,,,,,,,No,9,,,,,,,Session 1,Testlet,MAT_ALG_TST,3,10/2/2025,Fall,823456789,,,,,,N/A,,,,,,,,-1.57999,0.26825,358,24,Near Target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,1231216|1231088|1230849|1231628|1231320|1231089|1231651|1233590|1231308|1231207|1230795|1230808,D13D024B122C,MC|MC|MC|MC|TE|MC|MC|MC|TE|MC|MC|MC,1/1/1900 0:00,1/1/1900 0:00
2025-2026,25590,1107,605008,605008,05,Last 9,First 9,R,10181900,,,,,,,,,No,9,,,Y,,,,Session 1,FULL,ELA_RWR,5,8/26/2025,Fall,923456789,,,,,,N/A,,-1.1287,0.24639,421,17,Near Target,,-1.29023,0.33508,410,23,Near Target,-1.26926,0.60245,411,42,Near Target,-0.71717,0.78385,450,55,Near Target,-1.5117,0.45366,394,32,Near Target,-0.94758,0.36289,434,25,Near Target,-0.79576,0.42857,444,30,Near Target,-1.43186,0.75715,400,53,Near Target,487,585,Meets,,,,,,,,,,,,,,,,,,,1256144|1234907|1234908|1256075|1234848|1235217|1235218|1235344|1235345|1235346|1235347|1234738|1234739|1234740|1234711|1234600|861116|1257472|1257473|1257094|1257176|1256776|1256860|1257523|1257225|1256918|1256919|1234551|1234553|1234554|1234555|1234556|1234683|1255922|1255853|1256771|1255923|1234499|1235519|1234179|1234857|1257688|857844|1234123|1235511|1256088|1234913|1256043|1234896|1235280|1256058|1235223|1234912|1256023|1234897|1234449|1235125|1234849|1234162,4341C12121C1B21D2B3A1DBC14A1CB42C113003D2DD2C01C3C133BCB3BA,MC|MC|MC|MC|MC|TE|TE|MC|MC|MC|MC|MC|MC|MC|MC|MC|MC|MC|MC|MC|MC|MC|MC|MC|TE|MC|MC|TE|MC|MC|MC|MC|MC|TE|MC|MC|TE|TE|MC|MC|MC|MC|MC|TE|MC|TE|MC|MC|MC|MC|MC|MC|MC|MC|MC|MC|MC|MC|MC,1/1/1900 0:00,1/1/1900 0:00
2025-2026,25590,1107,605009,605009,05,Last 10,First 10,N,10191900,,,,,,,,,No,9,,,,,,,Session 1,FULL,ELA_RWR,5,8/26/2025,Fall,1023456789,,,,,,N/A,,-0.21732,0.3183,485,22,Near Target,,-0.68468,0.41831,452,29,Near Target,-0.17883,0.81849,487,57,Near Target,-1.96383,0.90725,363,64,Support Needed,-0.02243,0.77947,498,55,Near Target,0.36587,0.49658,526,35,Near Target,0.93214,0.73725,565,52,Prepared,-0.22314,0.68537,484,48,Near Target,546,644,Meets,,,,,,,,,,,,,,,,,,,1234907|1234904|1235224|1234903|1257768|1257522|1257222|1257224|1256918|1234547|1234674|1234675|1234548|1234677|1234550|1235499|1235337|1235500|1235338|1235339|1235113|1235098|1235260|1235389|1235390|1235392|1235261|1235394|857867|1234948|1234949|1234950|857923|1235295|1235282|1234922|1257710|1235965|1256169|1234914|1257792|1235291|1235947|1235514|1235270|1234474|1234749|1234814|1235292|869859|870521|1234827|1256166|1235933|1235498|869866|1235237,BB1D2240A420B22D24DDB12D1111434144C1CC1D11BDDDC1BB0BC241C,MC|MC|MC|MC|MC|TE|MC|TE|MC|MC|TE|TE|MC|MC|MC|MC|MC|MC|MC|MC|MC|MC|MC|MC|MC|TE|TE|MC|MC|MC|MC|MC|MC|MC|MC|TE|MC|MC|TE|MC|TE|TE|MC|MC|MC|MC|MC|MC|MC|MC|TE|MC|MC|MC|MC|TE|MC,1/1/1900 0:00,1/1/1900 0:00
