assessmentIdentifier,codeValue,description,namespace,shortDescription
FastBridge_CBMmath_Auto,Fall,Fall,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Fall
FastBridge_CBMmath_Auto,Winter,Winter,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Winter
FastBridge_CBMmath_Auto,Spring,Spring,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Spring
FastBridge_CBMmath_Auto,Screening Period 4,Screening Period 4,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Screening Period 4
FastBridge_CBMmath_Auto,Screening Period 5,Screening Period 5,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Screening Period 5
FastBridge_CBMmath_Process,Fall,Fall,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Fall
FastBridge_CBMmath_Process,Winter,Winter,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Winter
FastBridge_CBMmath_Process,Spring,Spring,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Spring
FastBridge_CBMmath_Process,Screening Period 4,Screening Period 4,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Screening Period 4
FastBridge_CBMmath_Process,Screening Period 5,Screening Period 5,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Screening Period 5
FastBridge_CBMmath_CAP,Fall,Fall,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Fall
FastBridge_CBMmath_CAP,Winter,Winter,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Winter
FastBridge_CBMmath_CAP,Spring,Spring,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Spring
FastBridge_CBMmath_CAP,Screening Period 4,Screening Period 4,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Screening Period 4
FastBridge_CBMmath_CAP,Screening Period 5,Screening Period 5,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Screening Period 5
