DistrictId,DistrictName,NcesId,SchoolId,SchoolName,StudentIdentifier,FirstName,LastOrSurname,SubmitDateTime,SchoolYear,TestSessionId,AssessmentType,AssessmentSubType,AssessmentName,Subject,GradeLevelWhenAssessed,Completeness,AdministrationCondition,ScaleScoreAchievementLevel,ScaleScore,ScaleScoreStandardError,Alt1ScoreAchievementLevel,Alt1ScaleScore,Alt1ScaleScoreStandardError,Alt2ScoreAchievementLevel,Alt2ScaleScore,Alt2ScaleScoreStandardError,Alt3ScoreAchievementLevel,Alt3ScaleScore,Alt3ScaleScoreStandardError,Alt4ScoreAchievementLevel,Alt4ScaleScore,Alt4ScaleScoreStandardError,Alt5ScoreAchievementLevel,Alt5ScaleScore,Alt5ScaleScoreStandardError,Alt6ScoreAchievementLevel,Alt6ScaleScore,Alt6ScaleScoreStandardError,Claim1ScoreAchievementLevel,Claim2ScoreAchievementLevel,Claim3ScoreAchievementLevel,Claim4ScoreAchievementLevel,Claim5ScoreAchievementLevel,Claim6ScoreAchievementLevel,MigrantStatus,LanguageCode,LanguageAltCode,EnglishLanguageAcquisitionStatus,EnglishLanguageAcquisitionStatusStartDate,HispanicOrLatinoEthnicity,AmericanIndianOrAlaskaNative,Asian,BlackOrAfricanAmerican,White,NativeHawaiianOrOtherPacificIslander,TwoOrMoreRaces,Filipino
FakeDistrictId,FakeDistrictName,FakeNcesId,,,Student0,Robert,Torres,2025-04-29 17:16:39.083000,2025,TestSession779300,Summative,SUM,CAA ELA Grade 11,CAAELA,11,Complete,Valid,2,947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FakeDistrictId,FakeDistrictName,FakeNcesId,,,Student1,Maria,Rodriguez,2025-04-08 13:13:42.513000,2025,TestSession578720,Summative,SUM,CAA ELA Grade 3,CAAELA,03,Complete,Valid,2,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FakeDistrictId,FakeDistrictName,FakeNcesId,,,Student2,Sarah,Collins,2025-05-01 14:22:13.703000,2025,TestSession143930,Summative,SUM,CAA ELA Grade 4,CAAELA,04,Complete,Valid,1,444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FakeDistrictId,FakeDistrictName,FakeNcesId,,,Student3,Michael,Harris,2025-05-14 13:41:59.163000,2025,TestSession608179,Summative,SUM,CAA ELA Grade 5,CAAELA,05,Complete,Valid,1,543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FakeDistrictId,FakeDistrictName,FakeNcesId,,,Student4,Taylor,Kirby,2025-04-23 12:10:53.015000,2025,TestSession942773,Summative,SUM,CAA ELA Grade 6,CAAELA,06,Complete,Valid,1,633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FakeDistrictId,FakeDistrictName,FakeNcesId,,,Student5,Jeffrey,Spencer,2025-05-07 14:18:01.053000,2025,TestSession865995,Summative,SUM,CAA ELA Grade 7,CAAELA,07,Complete,Valid,2,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FakeDistrictId,FakeDistrictName,FakeNcesId,,,Student6,Scott,Turner,2025-05-09 12:25:17.123000,2025,TestSession327169,Summative,SUM,CAA ELA Grade 8,CAAELA,08,Complete,Valid,3,862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FakeDistrictId,FakeDistrictName,FakeNcesId,,,Student7,David,Wolfe,2025-04-02 14:49:14.703000,2025,TestSession577514,Summative,SUM,CAA Math Grade 11,CAAMATH,11,Complete,Valid,1,930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FakeDistrictId,FakeDistrictName,FakeNcesId,,,Student8,Robert,Harrison,2025-05-27 17:34:03.024000,2025,TestSession203555,Summative,SUM,CAA Math Grade 3,CAAMATH,03,Partial,Valid,1,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FakeDistrictId,FakeDistrictName,FakeNcesId,,,Student9,Carrie,Rodriguez,2025-04-29 14:32:34.867000,2025,TestSession775958,Summative,SUM,CAA Math Grade 4,CAAMATH,04,Complete,Valid,1,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FakeDistrictId,FakeDistrictName,FakeNcesId,,,Student10,Lisa,Macdonald,2025-04-24 16:38:17.947000,2025,TestSession275479,Summative,SUM,CAA Math Grade 5,CAAMATH,05,Complete,Valid,1,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FakeDistrictId,FakeDistrictName,FakeNcesId,,,Student11,Jonathan,Cabrera,2025-04-24 14:38:58.893000,2025,TestSession114761,Summative,SUM,CAA Math Grade 6,CAAMATH,06,Complete,Valid,1,634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FakeDistrictId,FakeDistrictName,FakeNcesId,,,Student12,Holly,Evans,2025-05-06 13:46:25.085000,2025,TestSession157162,Summative,SUM,CAA Math Grade 7,CAAMATH,07,Complete,Valid,1,737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FakeDistrictId,FakeDistrictName,FakeNcesId,,,Student13,Joseph,Miller,2025-04-24 13:46:25.473000,2025,TestSession335530,Summative,SUM,CAA Math Grade 8,CAAMATH,08,Complete,Valid,2,846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FakeDistrictId,FakeDistrictName,FakeNcesId,,,Student14,Robert,Hayes,2025-05-13 12:14:05.187000,2025,TestSession602557,Summative,SUM,CAA Science Grade 5,CAASCI,05,Complete,Valid,1,541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FakeDistrictId,FakeDistrictName,FakeNcesId,,,Student15,Tommy,Olson,2025-05-02 15:06:20.453000,2025,TestSession995619,Summative,SUM,CAA Science Grade 8,CAASCI,08,Complete,Valid,1,834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FakeDistrictId,FakeDistrictName,FakeNcesId,,,Student16,Ana,Martinez,2025-03-10 16:19:22.483000,2025,TestSession534767,Summative,SUM,CAA Science Grade HS,CAASCI,11,Complete,Valid,1,941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FakeDistrictId,FakeDistrictName,FakeNcesId,,,Student17,Jeffrey,Hansen,2025-05-23 12:38:35.903000,2025,TestSession315507,Summative,SUM,CAST Summative Grade 5,CAST,05,Complete,Valid,1,171,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,
FakeDistrictId,FakeDistrictName,FakeNcesId,,,Student18,Thomas,Thompson,2025-05-06 13:10:31.027000,2025,TestSession846616,Summative,SUM,CAST Summative Grade 8,CAST,08,Complete,Valid,4,444,,,,,,,,,,,,,,,,,,,,3,3,3,,,,,,,,,,,,,,,,
FakeDistrictId,FakeDistrictName,FakeNcesId,,,Student19,Joshua,Werner,2025-03-19 17:02:46.363000,2025,TestSession919524,Summative,SUM,CAST Summative Grade HS,CAST,11,Complete,Valid,2,576,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,
