Assessment,Assessment Language,State,District,School,Local ID,State ID,FAST ID,First Name,Last Name,Gender,DOB,Race,Special Ed. Status,Grade,Unnamed: 15,Fall aReading Test Theta,Fall aReading Percentile at School,Fall aReading Percentile at LEA,Fall aReading Percentile at Nation,Fall aReading Risk Level,Fall aReading Final Date,Winter aReading Test Theta,Winter aReading Percentile at School,Winter aReading Percentile at LEA,Winter aReading Percentile at Nation,Winter aReading Risk Level,Winter aReading Final Date,Growth Score from Fall to Winter,School Growth Percentile from Fall to Winter,District Growth Percentile from Fall to Winter,National Growth Percentile from Fall to Winter,Growth Percentile by Start Score from Fall to Winter,Spring aReading Test Theta,Spring aReading Percentile at School,Spring aReading Percentile at LEA,Spring aReading Percentile at Nation,Spring aReading Risk Level,Spring aReading Final Date,Growth Score from Fall to Spring,School Growth Percentile from Fall to Spring,District Growth Percentile from Fall to Spring,National Growth Percentile from Fall to Spring,Growth Percentile by Start Score from Fall to Spring,Growth Score from Winter to Spring,School Growth Percentile from Winter to Spring,District Growth Percentile from Winter to Spring,National Growth Percentile from Winter to Spring,Growth Percentile by Start Score from Winter to Spring,Screening Period 4 aReading Test Theta,Screening Period 4 aReading Percentile at School,Screening Period 4 aReading Percentile at LEA,Screening Period 4 aReading Percentile at Nation,Screening Period 4 aReading Risk Level,Screening Period 4 aReading Final Date,Growth Score from Fall to Screening Period 4,School Growth Percentile from Fall to Screening Period 4,District Growth Percentile from Fall to Screening Period 4,National Growth Percentile from Fall to Screening Period 4,Growth Percentile by Start Score from Fall to Screening Period 4,Growth Score from Winter to Screening Period 4,School Growth Percentile from Winter to Screening Period 4,District Growth Percentile from Winter to Screening Period 4,National Growth Percentile from Winter to Screening Period 4,Growth Percentile by Start Score from Winter to Screening Period 4,Growth Score from Spring to Screening Period 4,School Growth Percentile from Spring to Screening Period 4,District Growth Percentile from Spring to Screening Period 4,National Growth Percentile from Spring to Screening Period 4,Growth Percentile by Start Score from Spring to Screening Period 4,Screening Period 5 aReading Test Theta,Screening Period 5 aReading Percentile at School,Screening Period 5 aReading Percentile at LEA,Screening Period 5 aReading Percentile at Nation,Screening Period 5 aReading Risk Level,Screening Period 5 aReading Final Date,Growth Score from Fall to Screening Period 5,School Growth Percentile from Fall to Screening Period 5,District Growth Percentile from Fall to Screening Period 5,National Growth Percentile from Fall to Screening Period 5,Growth Percentile by Start Score from Fall to Screening Period 5,Growth Score from Winter to Screening Period 5,School Growth Percentile from Winter to Screening Period 5,District Growth Percentile from Winter to Screening Period 5,National Growth Percentile from Winter to Screening Period 5,Growth Percentile by Start Score from Winter to Screening Period 5,Growth Score from Spring to Screening Period 5,School Growth Percentile from Spring to Screening Period 5,District Growth Percentile from Spring to Screening Period 5,National Growth Percentile from Spring to Screening Period 5,Growth Percentile by Start Score from Spring to Screening Period 5,Growth Score from Screening Period 4 to Screening Period 5,School Growth Percentile from Screening Period 4 to Screening Period 5,District Growth Percentile from Screening Period 4 to Screening Period 5,National Growth Percentile from Screening Period 4 to Screening Period 5,Growth Percentile by Start Score from Screening Period 4 to Screening Period 5,Fall Lexile,Winter Lexile,Spring Lexile,Screening Period 4 Lexile,Screening Period 5 Lexile
aReading,Assessment Language,WI,Fake School District,Fake School 10,63564,605606,337344,FAKE,HUNTER,Male,2018-06-25,American Indian or Alaska Native,Special Ed,Six,,462.09818,,,1.0,highRisk,10/30/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR40L,,,,
aReading,Assessment Language,WI,Fake School District,Fake School 5,38682,605184,680791,FAKE,HUNTER,Male,2018-03-21,White,Special Ed,Nine,,510.0,,,8.0,highRisk,10/16/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,WI,Fake School District,Fake School 10,19103,605427,208460,FAKE,WALTER,Male,2016-04-24,,Special Ed,Six,,502.0,,,18.0,someRisk,10/30/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,WI,Fake School District,Fake School 10,18445,605475,596775,FAKE,POLLARD,Female,2019-03-19,White,Special Ed,Seven,,350.0,,,1.0,highRisk,10/30/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,WI,Fake School District,Fake School 5,63379,605591,200020,FAKE,MARTINEZ,Female,2019-02-16,White,Special Ed,Nine,,505.3714,N/A*,N/A*,6.0,highRisk,09/16/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630L,,,,
aReading,Assessment Language,WI,Fake School District,Fake School 5,21669,605716,606443,FAKE,RAMSEY,Male,2018-04-14,White,Special Ed,Nine,,468.8823,N/A*,N/A*,1.0,highRisk,10/16/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70L,,,,
aReading,Assessment Language,WI,Fake School District,Fake School 5,68397,605194,166637,FAKE,STOUT,Male,2016-02-27,White,Special Ed,Nine,,509.75,,,8.0,highRisk,10/16/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,WI,Fake School District,Fake School 10,79553,605611,493453,FAKE,MCFARLAND,Male,2016-09-21,White,General Ed,Seven,,489.78262,N/A*,N/A*,4.0,highRisk,09/06/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400L,,,,
aReading,Assessment Language,WI,Fake School District,Fake School 10,81914,605129,874019,FAKE,SHELTON,Female,2018-02-09,White,Special Ed,Eight,,420.60553,N/A*,N/A*,1.0,highRisk,09/06/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR445L,,,,
aReading,Assessment Language,WI,Fake School District,Fake School 10,72612,604827,301381,FAKE,ALEXANDER,Male,2016-08-12,White,General Ed,Eight,,488.20334,N/A*,N/A*,3.0,highRisk,09/13/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365L,,,,
