Assessment,State,District,School,Student Id,Student State Id,Fast ID,First Name,Last Name,Gender,BirthDate,Race,SpecialEdStatus,Grade,AssessmentDate,ScoreMetric,Score,Start Goal,End Goal,Goal Start Date,Goal End Date,Assessment Level
ERAS-ws,WI, - Grand Bend SD,255901001,s604822,604822,1,Lisa,Woods,,,,,KG,6/3/2025,Items Correct,5,3,29.24,2/2/2025,6/11/2025,N/A
ERAS-nw,WI, - Grand Bend SD,255901044,s604824,604824,2,Traci,Mathews,,,,,01,11/14/2024,Words Read Correct,15,12,36.92,10/27/2024,6/13/2025,N/A
ERAS-drw,WI, - Grand Bend SD,255901001,s604823,604823,3,Julie,Randolph,,,,,02,5/12/2025,Total Words Read,6,5,24.36,1/5/2025,6/6/2025,N/A
ERAS-nw,WI, - Grand Bend SD,255901107,s604821,604821,4,Tyrone,Dyer,,,,,02,3/14/2025,Total Accuracy,50,4,25,11/3/2024,6/13/2025,N/A
ERAS-sw,WI, - Grand Bend SD,255901001,s604827,604827,5,Vincent,Orozco,,,,,02,3/6/2025,Words Read Correct,53,29,71.09,1/19/2025,6/30/2025,01
ERAS-nw,WI, - Grand Bend SD,255901107,s604825,604825,7,Dale,Jimenez,,,,,02,3/14/2025,Total Accuracy,52,6,23,11/3/2024,6/13/2025,N/A
ERAS-sw,WI, - Grand Bend SD,255901044,s604828,604828,8,Julie,Beard,,,,,02,3/6/2025,Words Read Correct,51,26,70.01,1/19/2025,6/30/2025,01
ERAS-drw,WI, - Grand Bend SD,255901001,s604823,604823,3,Julie,Randolph,,,,,02,5/12/2025,Total Accuracy,26,19,58.1,2/2/2025,6/11/2025,N/A
ERAS-drw,WI, - Grand Bend SD,255901001,s604823,604823,3,Julie,Randolph,,,,,02,5/12/2025,WRC per minute,22,19,58.1,2/2/2025,6/11/2025,N/A
ERAS-drw,WI, - Grand Bend SD,255901001,s604823,604823,3,Julie,Randolph,,,,,02,5/12/2025,Words Read Correct,22,19,58.1,2/2/2025,6/11/2025,N/A
