Order Number,Test,State Name,Region Name,Region Code,System Name,System Code,District Name,District Code,Building Name,Building Code,Class Name,Class Code,Class Grade,Date Tested,Student Last Name,Student First Name,Student Name/Middle Initial,GUID,Student ID,Secondary Student ID,Student Gender,Date of Birth,Age in Months,Age in Years/Months,Ethnicity String,Filler,Battery,Level,Form,Norm Year,Quartermonth,Semester,Home Reporting,Programs String,Other Info Field 1 Value,Other Info Field 2 Value,Other Info Field 3 Value,Other Info Field 4 Value,Filler,Office Use Subtest Exclusion,Filler,Office Use Only Z Value,Code Character String (A-T),Filler,Test Administrator Use A Value,Filler,Test Administrator Use B Value,Filler,Test Administrator Use C Value,Filler,Test Administrator Use D Value,Filler,Test Administrator Use E Value,Filler,Test Administrator Use F Value,Test Administrator Use G Value,Test Administrator Use H Value,Test Administrator Use I Value,Test Administrator Use J Value,Test Administrator Use K Value,Test Administrator Use L Value,Test Administrator Use M Value,Filler,Test Administrator Use N Value,Filler,Test Administrator Use O Value,Filler,Test Administrator Use P Value,Filler,Test Administrator Use Q Value,Filler,Test Administrator Use R Value,Filler,Test Administrator Use S Value,Filler,Number Attempted (NA),Completion Criteria (CC),Raw Score (RS),Standard Score (SS),Grade Equivalent (GE),Filler,National Percentile Rank (NPR),Filler,National Curve Equivalent (NCE),National Stanine (NS),Filler,PR Valid Flag,Filler,Filler,Filler,Filler,Filler,Predicted Standard Score (PSS),Predicted Grade Equivalent (PGE),Predicted National Percentile Rank (PNPR),Predicted Standard Score Diffs,Predicted Grade Equivalent Diffs,Significant Diff Indicators,Local Percentil Rank,Local Stanine,Catholic - Private PR,HSES PR,Predicted SAT Critical Reading High,Predicted SAT Critical Reading Low,Predicted SAT Math High,Predicted SAT Math Low,Predicted ACT Composite High,Predicted ACT Composite Low,Filler,Filler,Filler,Filler,Filler,LSES PR,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Iowa Skill Domain and Cognitive Difficulty Levels Percent Correct,Filler,Common Core Standards (CSS) Domain Percent Correct,College Readiness,Item Responses,Standard Score based on 2011 or 2005 norms,Grade Equivalent based on 2011 or 2005 norms,National Percentile Rank based on 2011 or 2005 norms,National Stanine based on 2011 or 2005 norms,Mode of Administration,Testinstance GUID,Common Core Standards (CSS) without Computation Domain Percent Correct,State Predicted Scale Score: Low Score of Range,State Predicted Scale Score: High Score of Range,State Predicted Scale Score,Filler,RaceI,RaceA,RaceB,Hispanic,RaceP,RaceW,Other,NotHispanic,SpecialEd,504,IEP,GT,FRL,ELL,Migrant,Title1Math,Title1Language,Other1,Other2,NA_R,NA_M,RS_R,RS_M,SS_R,SS_M,NPR_R,NPR_M,NCE_R,NCE_M,NS_R,NS_M
,IOWA,SC,SC,,Fake District Name 01,8881,Fake District Name 01,8881,Building A,8881001,Teacher01,,1,10162023,LastName01,FirstName01,MiddleName01,,8888555572,45761,F,6142016,88,704,0010000      0,,S,6,E,11,Fall,1,,0,,,,,,00   0 00000000000000000  00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370499882075  70    35    7977307391119193  9980  7810  0357,01    1111110   100 000  0011,388814  48    55890358  808923471063977287251018  5211206793,221   070850160   252490487   897980019044527927916498441900529912632802   567403340   351,2.6                                         1.9,,269881845232  7781295458      729423432032  596124351844  65,,5861774161014070537642786355220386  1426680400  640346203814,8 261 39  1  23166925 41923 1,,11   1 11111111111111111  11,,,,,,158154         158   157159154157155153155156156156156157161157157157157      156158,2.2 2.0             2.2     2.2 2.3 2.0 2.2 2.0 2.1 2.1 2.1 2.1 2.1 2.1 2.2 2.4 2.2 2.2 2.1 2.1         2.1 2.2,5344      54  5154435144464549494747506051515151    4754, 296     314        -981 652 820 958    -407 340 645 575 179    -092-000     216,0.4                                        -0.1,0,,,,62                    34,123,86,84,1,744,40,,,,,,81                    58,,,,,,,,,,50 93 90 93 82 93 83100                                     64 67 78 75 75 92 55 86,,50 93 82100 91                20 43 75 75,,ACBABCBABC2CABBCACB3CCB2AC3CBACBCAA00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000CACABCAACBC1ABCB11313A2CB2BAA3C2BACAA2AD400000000000000000000000000000000000000000000000000000000000000000000000000000000000,165                              153,2.6                                         1.9,69                    39,6 4,100010101001100,,,,,,,0,0,1,0,0,0,0,0,0,,,,,,,,,,,35,41,31,29,165,153,69,39,60,44,6,4
,IOWA,SC,SC,,Fake District Name 01,8881,Fake District Name 01,8881,Building A,8881001,Teacher02,27764,2,10162023,LastName02,FirstName02,MiddleName02,,8888555573,45762,F,3182016,91,707,0010000      0,,S,12,F,17,Fall,2,,0,,,,,,00   0 00000000000000000  00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57776940  2661829243  866347  752351  1443  86    58502282,0     1 0 1 00  0 110 010 000,47864985730442161970783985248458  661774258042  45    5211,214685         373535506294047680993401   707160400488518521462494   247      312220   481,2.3                                         1.6,,36567996810290027228666694850573  57173894485636  9064531942,,884559199587    40  020454  448369  681395  5697339309596303,937 8499862    1 481 81394731,,11   1 11111111111111111  11,,,,,,166165         166   166169163166165157162164164166166166169165165166166      166166,2.6 2.6             2.7     2.7 2.9 2.5 2.7 2.5 2.3 2.4 2.5 2.5 2.7 2.7 2.7 2.8 2.6 2.6 2.7 2.7         2.7 2.7,7168      74  7470687070616869697373717472727575    7174,-022 678 601-056 209-847     368 451 432 533 309-169-383-936    -544-143 323 678,-1.2,111000000000000000000000000000000000000000000000000000000,,,,47                    20,989,21,122,66,958,13,,,,,,69                    38,,,,,,,,,,100 71 90 71 91 93 83 33                                     71 67 78 75 25 67 68 43,,100 71 76 86 91                28 33 56 75,,ACBABCBABC2CABBC3CBAC1BCACBC3ACB0A200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000CACABC23CB2BAB13CBA1B211BABAABCCB32A22A1400000000000000000000000000000000000000000000000000000000000000000000000000000000000,159                              147,2.3                                         1.6,56                    25,5 4,101000000111010,,,,,,,0,0,1,0,0,0,0,0,0,,,,,,,,,,,34,41,29,26,159,147,56,25,53,36,5,4
,IOWA,SC,SC,,Fake District Name 01,8881,Fake District Name 01,8881,Building A,8881001,Teacher03,4714,3,10162023,LastName03,FirstName03,MiddleName03,,8888555574,45763,F,12092015,94,710,0000010      1,,S,14,G,11,Fall,3,,0,,,,,,00   0 00000000000000000  00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01171726  510289721138620458  3512423730571705281635  03  60,1 01  1 11  0  00111 1 00 00,3731636261074247246419  8091    715725  917741  919268946889,281539   020634193376925442419096831452570153446651638666913   367722233819   160491218469,4.1                                         1.9,,8176  0239125171592808  90192369  194229756565931610  298054,,665279    30719343  2153  41683578  9046196264032417  402091,1859  8 85 2132   166 2731 222,,11   1 11111111111111111  11,,,,,,161159         162   161164158161160155158160160161161161165161161161161      161162,2.4 2.3             2.5     2.4 2.6 2.2 2.4 2.3 2.2 2.2 2.3 2.3 2.4 2.4 2.4 2.6 2.4 2.4 2.4 2.4         2.4 2.4,6156      64  6263546058545660606161606863636363    6064,003-784 405-622 848 738 108-050 157    -929-720 398-060-788 185 199-746     577,1.7                                        -0.4,111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,94                    34,794,67,45,36,98,72,,,,,,98                    58,,,,,,,,,,100100100100100100100100                                     64100 67 75 63 83 68 57,,100100100100100                32 33 69 75,,ACBABCBABCACABBCACBACCBCACBCBACBCAA00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000CACABCAAC1CBABC30B0C3AC11ABAA1CCB31A4D4DB00000000000000000000000000000000000000000000000000000000000000000000000000000000000,190                              153,4.1                                         1.9,96                    39,9 4,0,,,,,,,0,0,0,0,0,1,0,1,0,,,,,,,,,,,35,39,35,29,190,153,96,39,87,44,9,4
,IOWA,SC,SC,,Fake District Name 01,8881,Fake District Name 01,8881,Building A,8881001,Teacher04,,4,10162023,LastName04,FirstName04,MiddleName04,,8888555575,45764,M,1062015,105,809,0010000      0,,S,6,E,17,Fall,1,,0,,,,,,00   0 00000000000000000  00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008  7693    92682501796147  42494034  21874797408916    79,0 1 1 0 100 000   11     0,09473650403791139008  11868385970360221433637788  97286552,998848      160713   192349418758281672144976107393   436474416      730293763152436790941,1.5                                         1.9,,36737644  10    71899462    6314      779223583341987223  06,,91  99  5420  6921110675548544976110  3663  0391682985235213,846 4184 616653553 3947 3 4149,,11   1 11111111111111111  11,,,,,,168169         169   169173165169168159165167167168168169172168168169169      169169,2.8 2.8             2.9     2.8 3.1 2.6 2.8 2.8 2.4 2.6 2.7 2.7 2.8 2.8 2.9 3.0 2.8 2.8 2.8 2.8         2.8 2.8,7574      79  7975737677677775757777768078788080    7779, 535     618 947         757    -708 452-065    -241-763-600-503 486-976    -248,-2.2,111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,18                    34,461,92,719,57,106,30,,,,,,31                    58,,,,,,,,,,0 50 20 79 55 64 44 67                                     71 83 78 75 50 67 77 57,,0 50 35 43 91                32 33 69 75,,AC3ABCBABCAC211C31B21C11211C3A2BC2A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002ACABCA31BCBABC3CBAC32C11ABAABC2BA2AAD2D400000000000000000000000000000000000000000000000000000000000000000000000000000000000,145                              153,1.5                                         1.9,20                    39,3 4,110011101010011,,,,,,,0,0,1,0,0,0,0,0,0,,,,,,,,,,,35,41,19,29,145,153,20,39,32,44,3,4
,IOWA,SC,SC,,Fake District Name 01,8881,Fake District Name 01,8881,Building A,8881001,Teacher05,,5,10162023,LastName05,FirstName05,MiddleName05,,8888555576,45765,F,2042016,92,708,0100000      0,,S,11,F,11,Fall,2,,100000,,,,,,00   0 00000000000000000  00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0567  97  754834936569138368793551      76371343      8489,1  00 000 1   1 1   0   1 1,31  0618634907  24655661  51      94969935396313  5357766417,860103509257   072513150058959055759317261815876391176   178211294550420926932313486651032,2.9                                         2.4,,951301978674  2299087652321778  447783322519  62  234504  77,,5175329731  98124795484571  29642477    74  3354683066795707,624811 368 71993 559843423 261,,11   1 11111111111111111  11,,,,,,178182         179   179185174179178163173176176179179177180177177179179      181179,3.3 3.6             3.4     3.4 3.8 3.1 3.3 3.3 2.6 3.1 3.2 3.2 3.4 3.4 3.3 3.5 3.3 3.3 3.3 3.3         3.5 3.3,9091      91  9188889192829090909292878991919393    9191,-604-050 539 318 466-122 783 559    -081 734    -265-521-808-823 620 248-096 380,-1.3,111000000000000000000000000000000000000000000000000000000,,,,72                    57,834,17,283,65,718,12,,,,,,87                    81,,,,,,,,,,50100 80100 91100 83100                                     86100 67 75 75 83 82 71,,50100 88 86100                32 48 75 75,,ACBABCBABCAC2BBCACBACCBC2C3CBACBCAA00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000CAC3BCAACBCBA1C32BA1BACCBABAA3C2BA1AADADB00000000000000000000000000000000000000000000000000000000000000000000000000000000000,169                              162,2.9                                         2.4,77                    63,7 6,001001000110101,,,,,,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,35,41,32,33,169,162,77,63,66,57,7,6
,IOWA,SC,SC,,Fake District Name 01,8881,Fake District Name 01,8881,Building B,8882002,Teacher06,EID17,6,10162023,LastName06,FirstName06,MiddleName06,,8888555577,45766,F,1102016,93,709,0000010      1,,S,7,G,17,Fall,3,,0,,,,,,00   0 00000000000000000  00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38  751346    33  21  054232  4693273764  499417072211195382,101    1  0 1  11 1  11  0 11,719508318304030699933161032612145896357476844579  9399372523,088   501486873602094970894418066703259670004080459   066846101154   889561   156631323236,2.4                                         1.5,,52  838046005849  76  24547869  428404    68990601    7446,,6076362495  35465667  71  08274643478313574648  8402  72  41,141  17  51 736  911 956146144,,11   1 11111111111111111  11,,,,,,160157         160   160162157160158154157158158159159160164160159160160      159160,2.3 2.1             2.4     2.3 2.5 2.2 2.4 2.2 2.2 2.2 2.2 2.2 2.3 2.3 2.4 2.6 2.4 2.3 2.3 2.3         2.3 2.3,5951      59  5960515853505255555656586660576060    5659, 046-638-033-500 673 745 015-571 002-189-406-919-879 597-556 306 066 291-978-595,0.1                                        -0.7,110000000000000000000000000000000000000000000000000000000,,,,52                    16,379,22,952,47,513,79,,,,,,74                    32,,,,,,,,,,50 86 80 86 91 93 78100                                     64100 33 75 50 83 55 43,,50 86 76 86100                32 33 44 75,,ACBABCBABCA0ABBCACBA1CBC31BCBACBC3A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000CACABCAACBCBABC31B3C13C1BA1A31C213CA224D400000000000000000000000000000000000000000000000000000000000000000000000000000000000,161                              145,2.4                                         1.5,61                    21,6 3,000010101100111,,,,,,,0,0,0,0,0,1,0,1,0,,,,,,,,,,,34,41,30,25,161,145,61,21,56,33,6,3
,IOWA,SC,SC,,Fake District Name 01,8881,Fake District Name 01,8881,Building A,8881001,Teacher07,14728,7,10162023,LastName07,FirstName07,MiddleName07,,8888555578,45767,F,3032016,91,707,0000010      0,,S,10,E,11,Fall,1,,100000,,,,,,00   0 00000000000000000  00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0421  865081  34  250773866684  6499996155859048110088918932,01 111  1  0  0 101   0 0,8881131808268665989870083395  80  3145841426763571791360  34,673900795423902058260216870125268853840591786673725   612420929494298894860430962762687276,1.6                                         2.5,,5544    04  83933217527720676814698744493160    9226834821,,302488586752511673  97423561204455  42926518  32  34  7306,8 114496251  1 91621  93  1856,,11   1 11111111111111111  11,,,,,,165163         165   165168161165163157161163163164164165168164164165165      164165,2.6 2.5             2.6     2.6 2.8 2.4 2.6 2.4 2.3 2.4 2.5 2.5 2.6 2.6 2.6 2.8 2.6 2.6 2.6 2.6         2.6 2.6,6964      72  7269636866616667676969697370707373    6772,-039-434 974-109 024-616-518 276 665 476 540 547-372 065 340-357 752 978 771-923,-1.0                                         0.1,110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,20                    63,102,15,782,72,115,11,,,,,,34                    85,,,,,,,,,,25 43 40 50 82 64 50 67                                     79100 89100 63 92 77 86,,25 43 35 71 82                32 48 75100,,AC3A1CBABCAC2BBC3C1A2C3121BCBA2112300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000CACABCAACBCBAB1B11A1BAC11ABAABCCBA2AADADB00000000000000000000000000000000000000000000000000000000000000000000000000000000000,146                              164,1.6                                         2.5,22                    68,3 6,000001100010001,,,,,,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,,,,35,41,20,34,146,164,22,68,34,60,3,6
,IOWA,SC,SC,,Fake District Name 01,8881,Fake District Name 01,8881,Building A,8881001,Teacher08,,8,10162023,LastName08,FirstName08,MiddleName08,,8888555579,45768,M,11242015,95,711,0000010      0,,S,11,F,17,Fall,2,,100000,,,,,,00   0 00000000000000000  00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703108140105320210842625  169812510077335269839898  13236730,110   1 0 1 101 111 101 0 1 0,10  7906  8544581029  965596  8377  93  93787658015970535069,216948   486997933777610385461238264696   790931295958573424382589384952195249742968849020,2.9                                         2.4,,198630917223  91497862      56162440687481  57864546459961,,08431154975037520084    857041040508816608824763053875165450,66 985 264114216255 72 2746,,11   1 11111111111111111  11,,,,,,154149         154   153154151153151151151152152152152153156153153153153      152154,2.0 1.8             2.0     2.0 2.0 1.8 2.0 1.8 1.9 1.9 1.9 1.9 1.9 1.9 2.0 2.1 1.9 1.9 1.9 1.9         1.9 2.0,4333      42  4043353834393338383636404838383939    3742,-704 710 139     556 901     564-171-106     255-436-537    -765 835-699 068 544,0.9                                         0.6,100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,72                    57,657,77,413,38,777,29,,,,,,87                    81,,,,,,,,,,100 86 90 93 91 79100100                                     79 83 78 75 88 67 86 86,,100 86 88100 91                32 43 81 75,,ACBABCBAB2ACABBCACBA1C3CACBCBACBCAA00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000CACA1CA2CBCBABCB1BAC3ACCBABAAB1CBA24A2ADB00000000000000000000000000000000000000000000000000000000000000000000000000000000000,169                              162,2.9                                         2.4,77                    63,7 6,101000111101001,,,,,,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,,,,35,41,32,33,169,162,77,63,66,57,7,6
,IOWA,SC,SC,,Fake District Name 01,8881,Fake District Name 01,8881,Building A,8881001,Teacher09,45100,9,10162023,LastName09,FirstName09,MiddleName09,,8888555580,45769,F,12202015,94,710,0100000      1,,S,7,G,11,Fall,3,,100000,,,,,,00   0 00000000000000000  00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6505  05769641298164  953404940929  91181596    5613    9433,010 1 0 01  10 01101 01 1 1 1,93573751304075  1156928925    1914206603962240244873  668436,527758920   324289990421625299   485      037176713463401181774412580489429   209425   097,3.6                                         2.9,,14542887  7011081526  4860  59  65495996054430  87786696,,5978164369613187661761  0654109373  71      679742219415  80,117 545 38 2438175 14 237984 4,,11   1 11111111111111111  11,,,,,,175177         175   175180171175174161170173173175175174177174174175175      176175,3.2 3.3             3.2     3.1 3.5 2.9 3.1 3.1 2.5 2.9 3.0 3.0 3.1 3.1 3.1 3.3 3.1 3.1 3.1 3.1         3.2 3.1,8785      87  8783848687758685858888838688888989    8787, 985-142-095-305-064-658 056 006 997-478 593-090-939         010 617-434 000 850,0.4                                        -0.2,0,,,,90                    77,691,59,312,19,350,20,,,,,,97                    92,,,,,,,,,,100 93100 93100 93100100                                     86100 78100 88 92 91 71,,100 93 94100100                36 48 81100,,ACBABCBABCACABBCACBAC1BCACBCBACBCAA00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000CACABCAACBCBABCB1BACBAC1BABAABC2BA2AADA2B00000000000000000000000000000000000000000000000000000000000000000000000000000000000,182                              170,3.6                                         2.9,93                    81,8 7,110111011111111,,,,,,,0,1,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,35,41,34,36,182,170,93,81,81,68,8,7
,IOWA,SC,SC,,Fake District Name 01,8881,Fake District Name 01,8881,Building A,8881001,Teacher10,14728,10,10162023,LastName10,FirstName10,MiddleName10,,8888555581,45770,F,1252016,93,709,0001010      0,,S,11,E,17,Fall,1,,100000,,,,,,00   0 00000000000000000  00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411835  018311216071157475    4145  3527484947911168045722,0  11   1 11011 101 0 0 100 0,601078466606243407774980  963436  09  92  89843562  34650769,161349         204365      918623870950758804938   468720175210058431261750         953148,2.6                                         2.1,,72298465  7218883681224704    618506    05380373195646  0722,,41916427053806337167118248345637421410527297829035  85638624,81554 9735315  665397 2331 159,,11   1 11111111111111111  11,,,,,,166165         166   166169163166165157162164164166166166169165165166166      166166,2.6 2.6             2.7     2.7 2.9 2.5 2.7 2.5 2.3 2.4 2.5 2.5 2.7 2.7 2.7 2.8 2.6 2.6 2.7 2.7         2.7 2.7,7168      74  7470687070616869697373717472727575    7174, 705-740 426 566     450 472 114 145 318 860 372 762 786 407 070 830-398-000-659,0.0                                        -0.4,0,,,,62                    44,293,60,605,35,991,88,,,,,,81                    71,,,,,,,,,,100 79100 86 82 93 83100                                     71100 56 75 88100 68 57,,100 79 88 86 91                40 33 69 75,,ACBA1CBABCACABBCACB3CCBCACBCB3C1CAA00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000CACABCAACBCBABCBCBAC3AC21ABAA3CC122A41AD100000000000000000000000000000000000000000000000000000000000000000000000000000000000,165                              157,2.6                                         2.1,69                    50,6 5,000010010011000,,,,,,,0,0,0,1,0,1,0,0,1,0,0,0,0,0,,,,,,35,41,31,31,165,157,69,50,60,50,6,5
