SchoolYear,DistrictCode,SchoolCode,Assessment,PS_StudentID,StudentSUNS,FirstName,LastName,MiddleName,DOB,ManuallyEntered,DateTaken,TestAdministration,OverallScore,PerformanceLevelDescriptor,Status,SFScore,LLScore,MAScore,PDScore,,,,,
2023,8881,23,KRA  ,605000,605000,FirstName_01,LastName_01,MiddleName_01,7/28/2017,0,8/15/2022,2022,264,Approaching Readiness,Complete,272,261,259,278,,,,,
2023,8881,33,KRA  ,605001,605001,FirstName_02,LastName_02,MiddleName_02,10/27/2016,0,8/15/2022,2022,288,Demonstrating Readiness,Complete,298,286,277,293,,,,,
2023,8881,33,KRA  ,605002,605002,FirstName_03,LastName_03,MiddleName_03,11/4/2016,0,8/15/2022,2022,270,Demonstrating Readiness,Complete,268,280,264,263,,,,,
2023,8881,39,KRA  ,605003,605003,FirstName_04,LastName_04,MiddleName_04,2/22/2017,0,8/15/2022,2022,268,Approaching Readiness,Complete,265,269,264,293,,,,,
2023,8881,24,KRA  ,605004,605004,FirstName_05,LastName_05,MiddleName_05,11/28/2016,0,8/15/2022,2022,272,Demonstrating Readiness,Complete,298,267,264,293,,,,,
2023,8881,17,KRA  ,605005,605005,FirstName_06,LastName_06,MiddleName_06,7/10/2017,0,8/15/2022,2022,257,Emerging Readiness,Complete,262,258,255,255,,,,,
2023,8881,17,KRA  ,605006,605006,FirstName_07,LastName_07,MiddleName_07,5/13/2017,0,8/15/2022,2022,211,Emerging Readiness,Complete,202,202,225,216,,,,,
2023,8881,17,KRA  ,605007,605007,FirstName_08,LastName_08,MiddleName_08,3/2/2017,0,8/15/2022,2022,262,Approaching Readiness,Complete,278,255,257,293,,,,,
2023,8881,53,KRA  ,605008,605008,FirstName_09,LastName_09,MiddleName_09,10/22/2016,1,8/15/2022,2022,265,Approaching Readiness,Complete,278,256,264,293,,,,,
2023,8881,11,KRA  ,605009,605009,FirstName_10,LastName_10,MiddleName_10,4/7/2017,0,8/15/2022,2022,245,Emerging Readiness,Complete,249,248,234,248,,,,,
