state_student_id,district_student_id,student_first_name,student_middle_name,student_last_name,student_dob,student_gender,student_FedRaceEth,student_ell,student_iep,school_name,school_id,district_name,district_id,teacher_id,teacher_first_name,teacher_last_name,overall_score,overall_sem,PLD,SF_score,SF_sem,LL_score,LL_sem,MA_score,MA_sem,PD_score,PD_sem,status,Count to 20,Tell how many − v1,Name numerals − v1,Solve simple addition problem − v1,Name shapes − v2,"Identify set that has ""the same number as"" − ","Identify set that is ""less than"" − v2",Pair numerals with sets − v2,Determine amount needed to complete a set − v,Sort by one attribute − v1,Compare height,Order objects by size,Match shapes − v2,Use prepositions − v2,Distinguish words from letters − v1,Identify rhyming words − v1,Identify rhyming words − v2,Identify beginning sound − v1,Identify beginning sound − v2,Answer question about story detail − G2,Answer question about story detail − G3,Identify story sequence − G,Name nouns and verbs − v2,Name letters (uppercase) − v2,Name letters (lowercase) − v1,Make letter sounds − v2,Demonstrate how print is read,Engage in conversations,Write first name,"Use words that reflect variety, specificity, ",Express own emotions,Ask familiar adults for help,Control impulses and behavior,Wait to take turns,Focus on activities,Follow multi-step directions,Solve problems,Express a desire to learn,Engage with peers in pretend play,Share materials with peers,Explain why rules are needed,Move through a crowded environment,"Run, jump, and/or hop","Bend, stretch, and/or twist",Hold scissors,Hold writing tool,Follow basic safety rules,Show or explain ways that adults help to keep,Complete personal care tasks,Follow basic health practices
111111,1001,First Name 1,Middle Name 1,Last Name 1,7/11/2019,MALE,,N,N,Shool A,1005,District A,201,27500,,,253,3,Emerging Readiness,265,6,249,4,249,5,255,6,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111112,1002,First Name 2,Middle Name 2,Last Name 2,7/12/2019,FEMALE,,N,N,Shool A,1005,District A,201,27500,,,298,9,Demonstrating Readiness,298,12,298,12,298,12,293,22,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111113,1003,First Name 3,Middle Name 3,Last Name 3,7/13/2019,FEMALE,,N,N,Shool A,1005,District A,201,27500,,,280,5,Demonstrating Readiness,278,9,286,9,277,9,278,12,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111114,1004,First Name 4,Middle Name 4,Last Name 4,7/14/2019,MALE,,N,N,Shool A,1005,District A,201,27500,,,267,3,Approaching Readiness,268,7,265,4,262,5,293,22,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111115,1005,First Name 5,Middle Name 5,Last Name 5,7/15/2019,FEMALE,,N,N,Shool A,1005,District A,201,27500,,,282,5,Demonstrating Readiness,298,12,277,6,277,9,293,22,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111116,1006,First Name 6,Middle Name 6,Last Name 6,7/16/2019,MALE,,N,N,Shool A,1005,District A,201,27500,,,267,3,Approaching Readiness,272,8,262,4,264,6,293,22,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111117,1007,First Name 7,Middle Name 7,Last Name 7,7/17/2019,FEMALE,,N,N,Shool A,1005,District A,201,27500,,,279,4,Demonstrating Readiness,298,12,271,5,277,9,293,22,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111118,1008,First Name 8,Middle Name 8,Last Name 8,7/18/2019,FEMALE,,N,N,Shool A,1005,District A,201,27500,,,272,4,Demonstrating Readiness,272,8,271,5,267,6,293,22,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111119,1009,First Name 9,Middle Name 9,Last Name 9,7/19/2019,MALE,,N,N,Shool A,1005,District A,201,27500,,,277,4,Demonstrating Readiness,298,12,271,5,271,7,293,22,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111120,1010,First Name 10,Middle Name 10,Last Name 10,7/20/2019,FEMALE,,N,N,Shool A,1005,District A,201,27500,,,267,3,Approaching Readiness,268,7,265,4,267,6,269,9,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111121,1011,First Name 11,Middle Name 11,Last Name 11,7/21/2019,FEMALE,,N,N,Shool A,1005,District A,201,27500,,,288,6,Demonstrating Readiness,298,12,286,9,277,9,293,22,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111122,1012,First Name 12,Middle Name 12,Last Name 12,7/22/2019,FEMALE,,N,N,Shool A,1005,District A,201,27500,,,285,6,Demonstrating Readiness,268,7,298,12,298,12,278,12,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111123,1013,First Name 13,Middle Name 13,Last Name 13,7/23/2019,MALE,,N,N,Shool A,1005,District A,201,27500,,,277,4,Demonstrating Readiness,298,12,274,6,267,6,293,22,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
