SchoolYear,DistrictCode,SchoolCode,Assessment,PS_StudentID,StudentSUNS,FirstName,LastName,MiddleName,DOB,ManuallyEntered,DateTaken,TestAdministration,OverallScore,PerformanceLevelDescriptor,Status,SFScore,LLScore,MAScore,PDScore,,,,,
2023,8881,23,KRA  ,114501,2847365761,FirstName_01,LastName_01,MiddleName_01,7/28/2017,0,8/15/2022,2022,264,Approaching Readiness,Complete,272,261,259,278,,,,,
2023,8881,33,KRA  ,114502,2847365762,FirstName_02,LastName_02,MiddleName_02,10/27/2016,0,8/15/2022,2022,288,Demonstrating Readiness,Complete,298,286,277,293,,,,,
2023,8881,33,KRA  ,114503,2847365763,FirstName_03,LastName_03,MiddleName_03,11/4/2016,0,8/15/2022,2022,270,Demonstrating Readiness,Complete,268,280,264,263,,,,,
2023,8881,39,KRA  ,114504,2847365764,FirstName_04,LastName_04,MiddleName_04,2/22/2017,0,8/15/2022,2022,268,Approaching Readiness,Complete,265,269,264,293,,,,,
2023,8881,24,KRA  ,114505,2847365765,FirstName_05,LastName_05,MiddleName_05,11/28/2016,0,8/15/2022,2022,272,Demonstrating Readiness,Complete,298,267,264,293,,,,,
2023,8881,17,KRA  ,114506,2847365766,FirstName_06,LastName_06,MiddleName_06,7/10/2017,0,8/15/2022,2022,257,Emerging Readiness,Complete,262,258,255,255,,,,,
2023,8881,17,KRA  ,114507,2847365767,FirstName_07,LastName_07,MiddleName_07,5/13/2017,0,8/15/2022,2022,211,Emerging Readiness,Complete,202,202,225,216,,,,,
2023,8881,17,KRA  ,114508,2847365768,FirstName_08,LastName_08,MiddleName_08,3/2/2017,0,8/15/2022,2022,262,Approaching Readiness,Complete,278,255,257,293,,,,,
2023,8881,53,KRA  ,114509,2847365769,FirstName_09,LastName_09,MiddleName_09,10/22/2016,1,8/15/2022,2022,265,Approaching Readiness,Complete,278,256,264,293,,,,,
2023,8881,11,KRA  ,114510,2847365770,FirstName_10,LastName_10,MiddleName_10,4/7/2017,0,8/15/2022,2022,245,Emerging Readiness,Complete,249,248,234,248,,,,,
2023,8881,40,KRA  ,114511,2847365771,FirstName_11,LastName_11,MiddleName_11,6/3/2017,0,8/15/2022,2022,261,Approaching Readiness,Complete,268,261,253,278,,,,,
2023,8881,45,KRA  ,114512,2847365772,FirstName_12,LastName_12,MiddleName_12,7/25/2017,0,8/15/2022,2022,256,Emerging Readiness,Complete,272,252,247,269,,,,,
2023,8881,30,KRA  ,114513,2847365773,FirstName_13,LastName_13,MiddleName_13,3/14/2017,0,8/15/2022,2022,263,Approaching Readiness,Complete,298,256,255,293,,,,,
2023,8881,36,KRA  ,114514,2847365774,FirstName_14,LastName_14,MiddleName_14,8/31/2017,0,8/15/2022,2022,268,Approaching Readiness,Complete,287,269,259,269,,,,,
2023,8881,16,KRA  ,114515,2847365775,FirstName_15,LastName_15,MiddleName_15,8/9/2017,0,8/15/2022,2022,296,Demonstrating Readiness,Complete,298,294,286,293,,,,,
2023,8881,24,KRA  ,114516,2847365776,FirstName_16,LastName_16,MiddleName_16,4/5/2017,0,8/15/2022,2022,270,Demonstrating Readiness,Complete,262,271,277,278,,,,,
2023,8881,36,KRA  ,114517,2847365777,FirstName_17,LastName_17,MiddleName_17,1/25/2017,0,8/15/2022,2022,277,Demonstrating Readiness,Complete,298,277,264,293,,,,,
2023,8881,15,KRA  ,114518,2847365778,FirstName_18,LastName_18,MiddleName_18,8/16/2017,0,8/15/2022,2022,255,Emerging Readiness,Complete,242,264,257,251,,,,,
2023,8881,46,KRA  ,114519,2847365779,FirstName_19,LastName_19,MiddleName_19,9/18/2016,0,8/15/2022,2022,247,Emerging Readiness,Complete,249,249,247,240,,,,,
2023,8881,44,KRA  ,114520,2847365780,FirstName_20,LastName_20,MiddleName_20,9/8/2016,0,8/15/2022,2022,247,Emerging Readiness,Complete,262,222,243,269,,,,,
2023,8881,57,KRA  ,114521,2847365781,FirstName_21,LastName_21,MiddleName_21,5/4/2017,1,8/15/2022,2022,277,Demonstrating Readiness,Complete,298,269,277,293,,,,,
2023,8881,57,KRA  ,114522,2847365782,FirstName_22,LastName_22,MiddleName_22,4/8/2017,0,8/15/2022,2022,271,Demonstrating Readiness,Complete,287,269,267,269,,,,,
2023,8881,14,KRA  ,114523,2847365783,FirstName_23,LastName_23,MiddleName_23,11/22/2016,0,8/15/2022,2022,271,Demonstrating Readiness,Complete,298,269,262,278,,,,,
2023,8881,44,KRA  ,114524,2847365784,FirstName_24,LastName_24,MiddleName_24,9/24/2016,0,8/15/2022,2022,277,Demonstrating Readiness,Complete,268,294,277,269,,,,,
2023,8881,58,KRA  ,114525,2847365785,FirstName_25,LastName_25,MiddleName_25,2/18/2017,0,8/15/2022,2022,261,Approaching Readiness,Complete,262,259,257,293,,,,,
2023,8881,45,KRA  ,114526,2847365786,FirstName_26,LastName_26,MiddleName_26,8/9/2017,0,8/15/2022,2022,259,Approaching Readiness,Some items were not complete,269,253,255,289,,,,,
2023,8881,6,KRA  ,114527,2847365787,FirstName_27,LastName_27,MiddleName_27,4/5/2017,0,8/15/2022,2022,202,Emerging Readiness,Complete with NS,202,202,202,202,,,,,
2023,8881,20,KRA  ,114528,2847365788,FirstName_28,LastName_28,MiddleName_28,1/25/2017,0,8/15/2022,2022,NULL,Did Not Participate,All items are not complete,NULL,NULL,NULL,NULL,,,,,
