TestID,Subject,TestSchedule,SchoolYear,TestAdmin,LEAID,LEA,TestName,NumScores,PercProjProf,SchoolID,School,TchName,TchEmail,ClassPeriod,FirstName,LastName,StuNumber,StuStateID,TestDate,PercCorr,ProjAchLvl,ProjScaleScore,SuggNMark,SuggLMark
tnalg12026ccomtrfclake,MATH,Traditional,2025-2026,Final,TN00123,Lake City Sch,Alg I Math Trad Final Comp Kingsport TN 2025-2026,482,40.9,10,Dobyns Bennett High,Jane Doe,JaneDoe@k12.edu,1,James,Baldwin,12345,678910,3/12/26,75.6,3+,346,86,B
tnalg12026ccomtrfclake,MATH,Traditional,2025-2026,Final,TN00123,Lake City Sch,Alg I Math Trad Final Comp Kingsport TN 2025-2026,50,34.5,10,Dobyns Bennett High,Jane Doe,JaneDoe@k12.edu,1,James,Baldwin,12346,678911,3/12/26,80.8,2,307,58,A
tneng22026ccomtrfcking,ELA,Traditional,2025-2026,Final,TN00456,Kingsport City Sch,Eng II ELA Trad Final Comp Kingsport TN 2025-2026,51,59.6,20,Sullivan North High,Mark Lee,MarkLee@k12.edu,2,Maria,Garcia,12347,678912,3/12/26,70.0,4,358,52,A
tnbiol2026ccomtrfcsull,SCIENCE,Traditional,2025-2026,Final,TN00789,Sullivan Cnty Sch,Biology Sci Trad Final Comp Kingsport TN 2025-2026,32,38.7,30,Colonial Heights Elem,Priya Patel,PriyaPatel@k12.edu,3,Wei,Chen,12348,678913,3/12/26,67.8,1,393,62,F
tnmat52026ccomtrfclake,MATH,Traditional,2025-2026,Final,TN00123,Lake City Sch,5th Gr Math Trad Final Comp Kingsport TN 2025-2026,43,38.8,10,Dobyns Bennett High,Jane Doe,JaneDoe@k12.edu,4,Fatima,Khan,12349,678914,3/12/26,72.4,1,444,60,D
tnrea32026ccomtrfcking,ELA,Traditional,2025-2026,Final,TN00456,Kingsport City Sch,3rd Gr Reading Trad Final Comp Kingsport TN 2025-2026,40,41.1,20,Sullivan North High,Mark Lee,MarkLee@k12.edu,5,Carlos,Martinez,12350,678915,3/12/26,51.8,3,276,55,D
tnsci42026ccomtrfcsull,SCIENCE,Traditional,2025-2026,Final,TN00789,Sullivan Cnty Sch,4th Gr Sci Trad Final Comp Kingsport TN 2025-2026,33,44.4,30,Colonial Heights Elem,Priya Patel,PriyaPatel@k12.edu,1,Aiden,Smith,12351,678916,3/12/26,58.9,3,261,96,D
tnsoc62026ccomtrfclake,SOCIAL STUDIES,Traditional,2025-2026,Final,TN00123,Lake City Sch,6th Gr Soc Studies Trad Final Comp Kingsport TN 2025-2026,47,35.0,10,Dobyns Bennett High,Jane Doe,JaneDoe@k12.edu,2,Sofia,Rossi,12352,678917,3/12/26,90.7,1,391,68,F
tnushi2026ccomtrfcking,SOCIAL STUDIES,Traditional,2025-2026,Final,TN00456,Kingsport City Sch,US History Trad Final Comp Kingsport TN 2025-2026,58,64.5,20,Sullivan North High,Mark Lee,MarkLee@k12.edu,3,Noah,Johnson,12353,678918,3/12/26,71.8,1,261,92,B
tnmalg2026ccomtrfcsull,MATH,Traditional,2025-2026,Final,TN00789,Sullivan Cnty Sch,Middle Sch Alg Trad Final Comp Kingsport TN 2025-2026,54,41.6,30,Colonial Heights Elem,Priya Patel,PriyaPatel@k12.edu,4,Emma,Brown,12354,678919,3/12/26,44.4,2,275,74,C
