YEAR,APID,SEMESTER,DIV_ID,DIV_NO,DIV_NM,SCH_ID,SCH_NO,SCH_NM,SCH_TI,SCH_TAI,CL_ID,CL_GRADE,TCH_ID,TCH_LASTNM,TCH_FIRSTNM,STD_PID,STD_STI,STD_LASTNM,STD_MIDDLENM,STD_FIRSTNM,STD_GEN,STD_HISP,STD_RACE,STD_NS,STD_DIS,STD_BDAY,STD_PREK,STD_ESL,STD_TI,STD_TUTOR,STD_N,STD_O,STD_ONM,STD_AGE,FORMID,SCOREOPT,SCORESID,ASSESSDATE,ASSESSTYPE,NAMEWRI,ALPHA_UC,ALPHA_LC,LETTERSND,BEGSOUND,PRNTWORD,RHYME,NURRHYME,ID
2022-2023,358,f,1892,821,"Sample District, SC",777,821777,Sample Elementary School Name,0,0,968736,p,111111,TeacherLastName01,TeacherFirstName01,4873641,7598273921,StudentLast01,StudentMiddle01,StudentFirst01,m,0,5,0,1,2/26/2018,,0,0,0,1,0,,54,a,0,5043901,8/15/2022,3,2,0,0,0,0,6,3,4,50852301
2022-2023,358,f,1892,821,"Sample District, SC",777,821777,Sample Elementary School Name,0,0,968736,p,111111,TeacherLastName01,TeacherFirstName01,4873642,7598273922,StudentLast02,StudentMiddle02,StudentFirst02,f,0,5,0,1,7/16/2018,,0,0,0,1,0,,49,a,0,5043902,8/15/2022,3,2,5,1,0,0,6,3,3,50852302
2022-2023,358,f,1892,821,"Sample District, SC",777,821777,Sample Elementary School Name,0,0,968736,p,111111,TeacherLastName01,TeacherFirstName01,4873643,7598273923,StudentLast03,StudentMiddle03,StudentFirst03,f,0,3,0,1,3/6/2018,,0,0,0,1,0,,53,a,0,5043903,8/15/2022,3,3,5,4,0,0,8,2,4,50852303
2022-2023,358,f,1892,821,"Sample District, SC",777,821777,Sample Elementary School Name,0,0,968736,p,111111,TeacherLastName01,TeacherFirstName01,4873644,7598273924,StudentLast04,StudentMiddle04,StudentFirst04,m,0,5,0,1,6/28/2018,,0,0,0,1,0,,50,a,0,5043904,8/15/2022,3,1,0,0,0,3,2,4,3,50852304
2022-2023,358,f,1892,821,"Sample District, SC",777,821777,Sample Elementary School Name,0,0,968736,p,111111,TeacherLastName01,TeacherFirstName01,4873645,7598273925,StudentLast05,StudentMiddle05,StudentFirst05,f,0,5,0,1,6/28/2018,,0,0,0,1,0,,50,a,0,5043905,8/15/2022,3,0,0,0,0,0,4,4,5,50852305
2022-2023,358,f,1892,821,"Sample District, SC",777,821777,Sample Elementary School Name,0,0,968736,p,111111,TeacherLastName01,TeacherFirstName01,4873646,7598273926,StudentLast06,StudentMiddle06,StudentFirst06,f,0,5,0,1,10/2/2017,,0,0,0,1,0,,58,a,0,5043906,8/15/2022,3,5,4,2,0,2,4,5,6,50852306
2022-2023,358,f,1892,821,"Sample District, SC",777,821777,Sample Elementary School Name,0,0,968736,p,111111,TeacherLastName01,TeacherFirstName01,4873647,7598273927,StudentLast07,StudentMiddle07,StudentFirst07,f,0,5,0,1,2/27/2018,,0,0,0,1,0,,54,a,0,5043907,8/15/2022,3,4,0,0,0,0,7,4,4,50852307
2022-2023,358,f,1892,821,"Sample District, SC",777,821777,Sample Elementary School Name,0,0,968736,p,111111,TeacherLastName01,TeacherFirstName01,4873648,7598273928,StudentLast08,StudentMiddle08,StudentFirst08,f,0,5,0,1,1/31/2018,,0,0,0,1,0,,55,a,0,5043908,8/15/2022,3,3,5,1,3,6,7,8,4,50852308
2022-2023,358,f,1892,821,"Sample District, SC",777,821777,Sample Elementary School Name,0,0,968736,p,111111,TeacherLastName01,TeacherFirstName01,4873649,7598273929,StudentLast09,StudentMiddle09,StudentFirst09,f,0,5,0,1,8/21/2018,,0,0,0,1,0,,48,a,0,5043909,8/15/2022,3,0,0,0,0,0,3,4,2,50852309
2022-2023,358,f,1892,821,"Sample District, SC",777,821777,Sample Elementary School Name,0,0,968736,p,111111,TeacherLastName01,TeacherFirstName01,4873650,7598273930,StudentLast10,StudentMiddle10,StudentFirst10,f,0,5,0,1,8/5/2018,,0,0,0,1,0,,48,a,0,5043910,8/15/2022,3,0,0,0,0,0,1,2,2,50852310
2022-2023,358,f,1892,821,"Sample District, SC",777,821777,Sample Elementary School Name,0,0,968736,p,111111,TeacherLastName01,TeacherFirstName01,4873651,7598273931,StudentLast11,StudentMiddle11,StudentFirst11,m,0,5,0,1,8/25/2018,,0,0,0,1,0,,48,a,0,5043911,8/15/2022,3,0,0,0,0,6,1,2,2,50852311
