TestAdmin,PermID,StateID,DOB,Gender,Grade,LName,FName,MName,English,RDistrictID,RDistrict,RSchoolID,RSchool,TDistrictID,TDistrict,TSchoolID,TSchool,ELAGRADE,TestNameELA,StatusELA,LevelELA,ELASS,ELASSSEM,MathGrade,TestNameMath,StatusMath,LevelMath,MathSS,MathSSSEM,SciGrade,TestNameSci,StatusSci,LevelSci,SciSS,SocGrade,TestNameSoc,StatusSoc,LevelSoc,SocSS,SocSSSEM,tenant_code,api_year
Spring2024,10323,605000,07082006,F,09,Doe,John,Claire,9,1234,Test County School District,9991,Eastwood High,1234,Test County School District,9991,Eastwood High,,,,,,,,,,,,,11,(SouthCarolina)SC-ALT-SUM-UD-SC-Biology-11-Spring-,Completed,2,532,,,,,,,test_district,2024
Spring2024,10824,605001,09142007,F,09,MacLeod,Rose,Ross,9,1234,Test County School District,9991,Eastwood High,,,9991,,11,(SouthCarolina)SC-ALT-SUM-UD-ELA-English-11-Spring,Completed,1,513,19,,,,,,,11,(SouthCarolina)SC-ALT-SUM-UD-SC-Biology-11-Spring-,Completed,2,541,,,,,,,test_district,2024
Spring2024,10844,605002,10312007,F,09,Dowd,Rachel,Duane,9,1234,Test County School District,9991,Eastwood High,,,9991,,11,(SouthCarolina)SC-ALT-SUM-UD-ELA-English-11-Spring,Completed,1,522,18,,,,,,,11,(SouthCarolina)SC-ALT-SUM-UD-SC-Biology-11-Spring-,Completed,3,573,,,,,,,test_district,2024
Spring2024,10953,605003,06012006,F,09,Springer,Victoria,Jacobi,9,1234,Test County School District,9991,Eastwood High,,,9991,,,,,,,,,,,,,,11,(SouthCarolina)SC-ALT-SUM-UD-SC-Biology-11-Spring-,Completed,1,495,,,,,,,test_district,2024
Spring2024,14877,605004,11222005,M,09,Ellison,Jake,Mae,9,1234,Test County School District,9991,Eastwood High,,,9991,,,,,,,,,,,,,,11,(SouthCarolina)SC-ALT-SUM-UD-SC-Biology-11-Spring-,Completed,1,517,,,,,,,test_district,2024
Spring2024,16497,605005,05102007,M,10,Burgess,Thomas,Austin,9,1234,Test County School District,9991,Eastwood High,1234,Test County School District,9991,Eastwood High,11,(SouthCarolina)SC-ALT-SUM-UD-ELA-English-11-Spring,Completed,4,624,20,,,,,,,11,(SouthCarolina)SC-ALT-SUM-UD-SC-Biology-11-Spring-,Completed,4,660,,,,,,,test_district,2024
Spring2024,,605006,05092010,M,07,Edmunds,Joe,,8,1234,Test County School District,9991,Northwood Middle,1234,Test County School District,9991,Northwood Middle,07,(SouthCarolina)SC-ALT-SUM-UD-ELA-7-Spring-2023-202,Completed,4,605,24,07,(SouthCarolina)SC-ALT-SUM-UD-MA-7-Spring-2023-2024,Completed,3,587,34,,,,,,,,,,,,test_district,2024
Spring2024,10481,605007,09182006,F,08,Langdon,Leonard,Mattea,9,1234,Test County School District,9991,Northwood Middle,,,9991,,08,(SouthCarolina)SC-ALT-SUM-UD-ELA-8-Spring-2023-202,Completed,4,632,23,08,(SouthCarolina)SC-ALT-SUM-UD-MA-8-Spring-2023-2024,Completed,3,568,29,,,,,,,,,,,,test_district,2024
Spring2024,11319,605008,07292008,F,07,McLean,Joanne,John,9,1234,Test County School District,9991,Northwood Middle,1234,Test County School District,9991,Westwood Elementary,07,(SouthCarolina)SC-ALT-SUM-UD-ELA-7-Spring-2023-202,Completed,4,622,25,07,(SouthCarolina)SC-ALT-SUM-UD-MA-7-Spring-2023-2024,Completed,4,653,35,,,,,,,,,,,,test_district,2024
Spring2024,11368,605009,10062008,M,08,Cornish,Harry,James,9,1234,Test County School District,9991,Northwood Middle,,,9991,,08,(SouthCarolina)SC-ALT-SUM-UD-ELA-8-Spring-2023-202,Completed,2,540,20,08,(SouthCarolina)SC-ALT-SUM-UD-MA-8-Spring-2023-2024,Completed,2,553,29,,,,,,,,,,,,test_district,2024
