testadmin,districtid,district,schoolid,stateid,psid,school,fname,lname,dob,grade,gender,hispanic,racei,racea,raceb,racep,racew,fedreport,lunch,qdim,qdimname,qdimt,qdimvr,qdimnvm,qdimq,qdimg,qdimdate,vnoscore,nvnoscore,vrubric1,vrubric2,vrubric3,vrubric4,vrubric5,vtotal,nvrubric1,nvrubric2,nvrubric3,nvrubric4,nvrubric5,nvrubric6,nvrubric7,nvtotal,qualify,totalv,totalnv,stargrade,checked,mhispanic,mracei,mracea,mraceb,mracep,mracew,phispanic,pracei,pracea,praceb,pracep,pracew,uid
SP25,1234,FakeDistrict,1234777,1233344556,15989,FakeElementary01,FirstName01,LastName01,6/3/2015,2,F,,,,,,,B,N,A,CogAT,75,25,67,97,2,8/20/2024,,,3,3,4,2,4,16,4,4,2,2,1,0,0,13,V,0,0,,1,,,,,,,,,,,,,SP25038624350025
SP25,1234,FakeDistrict,1234777,1233344557,15990,FakeElementary01,FirstName02,LastName02,6/3/2015,5,F,,,,,,,W,N,B,SCReady,0,683,483,0,4,8/20/2024,,,4,3,2,1,2,12,1,2,0,1,3,4,1,12,,0,0,,1,,,,,,,,,,,,,SP25038624350025
SP25,1234,FakeDistrict,1234777,1233344558,15991,FakeElementary01,FirstName03,LastName03,6/3/2015,5,F,,,,,,,B,F,B,SCReady,0,724,664,0,4,8/20/2024,,,3,3,2,0,2,10,3,3,3,2,3,4,3,21,,0,0,,1,,,,,,,,,,,,,SP25038624350025
SP25,1234,FakeDistrict,1234777,1233344559,15992,FakeElementary01,FirstName04,LastName04,6/3/2015,5,M,,,,,,,W,R,B,SCReady,0,683,713,0,4,8/20/2024,,,2,3,4,1,2,12,2,3,0,3,3,2,2,15,,0,0,,1,,,,,,,,,,,,,SP25038624350025
SP25,1234,FakeDistrict,1234777,1233344560,15993,FakeElementary01,FirstName05,LastName05,6/3/2015,5,F,,,,,,,W,F,B,SCReady,0,564,681,0,3,8/20/2024,,,2,3,4,2,2,13,1,3,3,4,2,4,4,21,,0,0,,1,,,,,,,,,,,,,SP25038624350025
SP25,1234,FakeDistrict,1234777,1233344561,15994,FakeElementary01,FirstName06,LastName06,6/3/2015,5,M,,,,,,,B,F,B,SCReady,0,683,553,0,4,8/20/2024,,,3,3,3,2,2,13,2,4,3,2,4,4,1,20,,0,0,,1,,,,,,,,,,,,,SP25038624350025
SP25,1234,FakeDistrict,1234777,1233344562,15995,FakeElementary02,FirstName07,LastName07,6/3/2015,3,F,,,,,,,W,F,B,MAP,0,94,82,0,3,8/20/2024,,,3,3,4,0,4,14,2,4,2,4,1,0,0,13,,0,0,,1,,,,,,,,,,,,,SP25038624350025
SP25,1234,FakeDistrict,1234777,1233344563,15996,FakeElementary02,FirstName08,LastName08,6/3/2015,3,F,,,,,,,W,F,B,MAP,0,94,24,0,2,8/20/2024,,,3,4,4,0,3,14,1,2,3,0,1,0,0,7,,0,0,,1,,,,,,,,,,,,,SP25038624350025
SP25,1234,FakeDistrict,1234777,1233344564,15997,FakeElementary02,FirstName09,LastName09,6/3/2015,3,F,,,,,,,B,F,B,MAP,0,94,69,0,2,8/20/2024,,,4,4,4,2,4,18,4,3,1,4,4,0,0,16,V,0,0,,1,,,,,,,,,,,,,SP25038624350025
SP25,1234,FakeDistrict,1234777,1233344565,15998,FakeElementary02,FirstName10,LastName10,6/3/2015,,F,,,,,,,W,F,B,MAP,0,94,71,0,3,8/20/2024,,,3,4,4,4,4,19,4,4,4,4,4,0,0,20,BOTH,0,0,3,1,,,,,,,,,,,,,SP25038624350025
SP25,1234,FakeDistrict,1234777,1233344566,15999,FakeElementary02,FirstName11,LastName11,6/3/2015,,F,,,,,,,M,F,B,MAP,0,94,69,0,3,8/20/2024,,,4,4,4,0,4,16,3,3,2,3,0,0,0,11,,0,0,3,1,,,,,,,,,,,,,SP25038624350025
SP25,1234,FakeDistrict,1234777,1233344567,16000,FakeElementary02,FirstName12,LastName12,6/3/2015,,M,,,,,,,W,N,A,CogAT,83,45,86,93,2,8/20/2024,,,4,4,3,2,4,17,4,4,3,4,4,0,0,19,NV,0,0,,1,,,,,,,,,,,,,SP25038624350025
SP25,1234,FakeDistrict,1234777,1233344568,16001,FakeElementary02,FirstName13,LastName13,6/3/2015,4,M,,,,,,,W,N,B,SCReady,0,647,579,0,3,8/20/2024,,,3,3,2,1,2,11,3,2,4,4,2,4,1,20,,0,0,,1,,,,,,,,,,,,,SP25038624350025
SP25,1234,FakeDistrict,1234777,1233344569,16002,FakeElementary02,FirstName14,LastName14,6/3/2015,4,F,,,,,,,W,N,B,SCReady,0,673,620,0,3,8/20/2024,,,2,3,1,1,2,9,3,3,3,3,3,4,3,22,NV,0,0,,1,,,,,,,,,,,,,SP25038624350025
SP25,1234,FakeDistrict,1234777,1233344570,16003,FakeElementary02,FirstName15,LastName15,6/3/2015,4,M,,,,,,,B,F,B,SCReady,0,558,686,0,3,8/20/2024,,,4,3,2,2,2,,2,3,3,3,3,4,2,,,13,26,,1,,,,,,,,,,,,,SP25038624350025
SP25,1234,FakeDistrict,1234777,1233344571,16004,FakeElementary02,FirstName16,LastName16,6/3/2015,4,F,,,,,,,B,N,B,MAP,0,95,81,0,4,8/20/2024,,,2,3,1,1,2,9,3,4,3,4,2,4,1,21,,0,0,,1,,,,,,,,,,,,,SP25038624350025
SP25,1234,FakeDistrict,1234777,1233344572,16005,FakeElementary02,FirstName17,LastName17,6/3/2015,4,F,,,,,,,W,F,B,IOWA,0,94,6,0,2,8/20/2024,,,1,3,2,0,2,8,1,3,1,1,2,1,1,10,,0,0,,1,,,,,,,,,,,,,SP25038624350025
SP25,1234,FakeDistrict,1234777,1233344573,16006,FakeElementary02,FirstName18,LastName18,6/3/2015,4,M,,,,,,,B,N,B,SCReady,0,625,749,0,3,8/20/2024,,,4,3,4,1,2,14,1,2,3,4,3,3,2,18,,0,0,,1,,,,,,,,,,,,,SP25038624350025
SP25,1234,FakeDistrict,1234777,1233344574,16007,FakeElementary02,FirstName19,LastName19,6/3/2015,4,F,,,,,,,B,N,B,SCReady,0,673,597,0,3,8/20/2024,1,1,2,3,3,3,2,,1,3,3,3,3,4,2,,,,,,1,,,,,,,,,,,,,SP25038624350025
SP25,1234,FakeDistrict,1234777,1233344575,16008,FakeElementary02,FirstName20,LastName20,6/3/2015,4,F,,,,,,,W,F,B,SCReady,0,647,579,0,3,8/20/2024,3,3,1,3,2,1,2,,2,2,0,2,3,1,1,,,,,,1,,,,,,,,,,,,,SP25038624350025
SP25,1234,FakeDistrict,1234777,1233344576,16009,FakeElementary02,FirstName21,LastName21,6/3/2015,4,M,,,,,,,M,N,B,SCReady,0,647,579,0,3,8/20/2024,2,,4,4,3,0,2,,3,2,3,3,2,4,2,19,,,0,,1,,,,,,,,,,,,,SP25038624350025
FA25,1234,FakeDistrict,1234777,1233344577,16010,FakeElementary02,FirstName22,LastName22,6/3/2015,4,F,,,,,,,B,N,B,SCReady,0,533,647,0,3,8/20/2024,,1,3,3,2,4,4,16,3,2,1,4,2,4,3,,V,0,,,1,,,,,,,,,,,,,SP25038624350025
FA25,1234,FakeDistrict,1234777,1233344578,16011,FakeElementary02,FirstName23,LastName23,6/3/2015,4,F,,,,,,,M,F,B,SCReady,0,605,647,0,3,8/20/2024,,,2,3,2,1,2,10,3,3,1,4,3,4,2,20,,11,19,,1,,,,,,,,,,,,,SP25038624350025
FA25,1234,FakeDistrict,1234777,1233344579,16012,FakeElementary02,FirstName24,LastName24,6/3/2015,4,F,,,,,,,B,F,B,SCReady,0,647,579,0,3,8/20/2024,,,1,3,4,1,2,11,2,2,0,4,3,3,2,16,,0,0,,1,,,,,,,,,,,,,SP25038624350025
FA25,1234,FakeDistrict,1234777,1233344580,16013,FakeElementary02,FirstName25,LastName25,6/3/2015,4,F,,,,,,,W,F,B,MAP,0,94,87,0,4,8/20/2024,,,2,4,3,1,4,14,3,2,4,4,3,4,2,22,NV,0,0,,1,,,,,,,,,,,,,SP25038624350025
